parameter,index,value
mu_max,1,0.977493021602314
kd,2,0.0482628006620418
Y_XCom_SLNT,3,0.26524469376324
Y_XCom_SGalactose,7,44.549372630917
Y_XCom_SGlucose,8,49.999999161223
k1,11,0.206812883087604
k2,12,0.262805744194884
k3,13,0.822452153660809
k4,14,0.256126274430993
