exp,parameter,value
paci,Y_XCom_3SL,75
paci,Y_XCom_3SL,75
paci,Y_XCom_3SL,74.999999991959
paci,Y_XCom_SLactose,0.323149569431106
paci,Y_XCom_SLactose,0.328490123627241
paci,Y_XCom_SLactose,0.301570917049688
paci,Y_XCom_SLactose,0.31902585343029
paci,Y_XCom_SLactose,0.32033092277727
paci,Y_XCom_SLactose,0.326208671695352
paci,Y_XCom_SLactose,0.32309354037215
paci,Y_XCom_SLactose,0.325949203300593
paci,Y_XCom_SLactose,0.323149569431106
paci,Y_XCom_SLactose,0.324969583808993
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,74.9999970068111
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,74.9996956986349
paci,Y_XCom_SNeu5Ac,74.9984351451139
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SFucose,75
paci,Y_XCom_SFucose,74.673570317561
paci,Y_XCom_SFucose,75
paci,Y_XCom_SFucose,74.9858464987946
paci,Y_XCom_SFucose,74.9737844644075
paci,Y_XCom_SFucose,75
paci,Y_XCom_SFucose,74.9999999880727
paci,Y_XCom_SFucose,74.847614293757
paci,Y_XCom_SFucose,75
paci,Y_XCom_SFucose,74.9957842101074
paci,K_SLNT,74.9989085722881
paci,K_SLNT,75
paci,K_SLNT,75
paci,K_SLNT,59.3965792526395
paci,K_SLNT,75
paci,K_SLNT,75
paci,K_SLNT,74.9999999880727
paci,K_SLNT,75
paci,K_SLNT,74.9989085722881
paci,K_SLNT,75
paci,K_S2FL,18.9926772324702
paci,K_S2FL,18.2065843961976
paci,K_S2FL,19.4511738426996
paci,K_S2FL,26.9328910116462
paci,K_S2FL,36.5144681787067
paci,K_S2FL,18.8992556564728
paci,K_S2FL,20.9761157755895
paci,K_S2FL,19.7399268740626
paci,K_S2FL,18.9926772324702
paci,K_S2FL,20.4222753847883
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,74.9999999880727
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_S3SL,75
paci,K_SLactose,3.06255551725193
paci,K_SLactose,3.09654361962674
paci,K_SLactose,3.18346239202936
paci,K_SLactose,2.64479384825652
paci,K_SLactose,2.24386608786335
paci,K_SLactose,3.0033834822161
paci,K_SLactose,2.81445925971838
paci,K_SLactose,2.92884323018436
paci,K_SLactose,3.06255551725193
paci,K_SLactose,2.83980329004203
paci,K_SGalactose,20.4984564407831
paci,K_SGalactose,38.893939716067
paci,K_SGalactose,26.3611718451424
paci,K_SGalactose,33.2268892734805
paci,K_SGalactose,28.8190655255759
paci,K_SGalactose,10.2417204845143
paci,K_SGalactose,32.1237197421574
paci,K_SGalactose,30.4515136251863
paci,K_SGalactose,20.4984564407831
paci,K_SGalactose,25.770208609567
paci,K_SGlucose,73.3304008412177
paci,K_SGlucose,17.481659381196
paci,K_SGlucose,5.87273714917516
paci,K_SGlucose,0.727300295610816
paci,K_SGlucose,66.5859187777385
paci,K_SGlucose,72.2114537767402
paci,K_SGlucose,0.064012679324118
paci,K_SGlucose,71.1786757307244
paci,K_SGlucose,73.3304008412177
paci,K_SGlucose,22.9607770260731
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,74.9150789927676
paci,K_SNeu5Ac,46.3621118786321
paci,K_SNeu5Ac,74.5438189150551
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,75
paci,K_SNeu5Ac,75
paci,K_SFucose,34.7017636984118
paci,K_SFucose,37.025158576775
paci,K_SFucose,31.2322041772035
paci,K_SFucose,35.6725741112952
paci,K_SFucose,59.3379226033373
paci,K_SFucose,36.9729310529573
paci,K_SFucose,37.0433095298258
paci,K_SFucose,37.0521827002894
paci,K_SFucose,34.7017636984118
paci,K_SFucose,37.7025935646123
