exp,parameter,value
lsym,Y_XCom_SLactose,0.817974923067428
lsym,Y_XCom_SGalactose,44.468834287547
lsym,Y_XCom_SGalactose,10.0982648790437
lsym,Y_XCom_SGalactose,40.7251051641499
lsym,Y_XCom_SGalactose,33.65063782196
lsym,Y_XCom_SGalactose,24.5214526073149
lsym,Y_XCom_SGalactose,26.8823651194825
lsym,Y_XCom_SGalactose,33.65063782196
lsym,Y_XCom_SGalactose,0.375383961827954
lsym,Y_XCom_SGalactose,66.7498452270439
lsym,Y_XCom_SGalactose,40.7251051641499
lsym,Y_XCom_SGlucose,45.3508396686394
lsym,Y_XCom_SGlucose,45.8662230515451
lsym,Y_XCom_SGlucose,29.2487200757917
lsym,Y_XCom_SGlucose,13.1679142545277
lsym,Y_XCom_SGlucose,29.9997504495963
lsym,Y_XCom_SGlucose,32.2446760952937
lsym,Y_XCom_SGlucose,13.1679142545277
lsym,Y_XCom_SGlucose,38.2655668825537
lsym,Y_XCom_SGlucose,53.2016679397434
lsym,Y_XCom_SGlucose,29.2487200757917
lsym,Y_XCom_SNeu5Ac,74.9999999516861
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,74.9999993588805
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SFucose,2.99818807132809
lsym,Y_XCom_SFucose,4.56989731339024
lsym,Y_XCom_SFucose,3.77140126231283
lsym,Y_XCom_SFucose,3.37111611974467
lsym,Y_XCom_SFucose,2.43998299676999
lsym,Y_XCom_SFucose,2.84406822025906
lsym,Y_XCom_SFucose,3.37111611974467
lsym,Y_XCom_SFucose,3.141395860648
lsym,Y_XCom_SFucose,4.20952207625084
lsym,Y_XCom_SFucose,3.77140126231283
lsym,K_SLNT,13.7149380224265
lsym,K_SLNT,44.8729467499251
lsym,K_SLNT,13.3051926914502
lsym,K_SLNT,12.6057410158537
lsym,K_SLNT,75
lsym,K_SLNT,75
lsym,K_SLNT,12.6057410158537
lsym,K_SLNT,74.9999994586854
lsym,K_SLNT,33.9082842595898
lsym,K_SLNT,13.3051926914502
lsym,K_S2FL,49.1946354296196
lsym,K_S2FL,54.7701986887148
lsym,K_S2FL,75
lsym,K_S2FL,61.81068200361
lsym,K_S2FL,4.66100567496229
lsym,K_S2FL,7.89838478812104
lsym,K_S2FL,61.81068200361
lsym,K_S2FL,11.1905234557114
lsym,K_S2FL,67.0114570506596
lsym,K_S2FL,75
lsym,K_S3SL,75
lsym,K_S3SL,75
lsym,K_S3SL,74.9799372415154
lsym,K_S3SL,75
lsym,K_S3SL,75
lsym,K_S3SL,74.9998605167185
lsym,K_S3SL,75
lsym,K_S3SL,75
lsym,K_S3SL,75
lsym,K_S3SL,74.9799372415154
lsym,K_SLactose,3.02996496958314
lsym,K_SLactose,1.21520670119723
lsym,K_SLactose,2.73624276396398
lsym,K_SLactose,3.02778572140575
lsym,K_SLactose,6.44701922727413
lsym,K_SLactose,4.00048940039408
lsym,K_SLactose,3.02778572140575
lsym,K_SLactose,2.93480935190094
lsym,K_SLactose,1.37376619608266
lsym,K_SLactose,2.73624276396398
lsym,K_SGalactose,75
lsym,K_SGalactose,69.5759864609866
lsym,K_SGalactose,22.4553321019446
lsym,K_SGalactose,60.8076642674026
lsym,K_SGalactose,48.0102997971079
lsym,K_SGalactose,46.9212754205404
lsym,K_SGalactose,60.8076642674026
lsym,K_SGalactose,21.0748765221984
lsym,K_SGalactose,8.17748312487311
lsym,K_SGalactose,22.4553321019446
lsym,K_SGlucose,30.7530265049301
lsym,K_SGlucose,59.4350935286905
lsym,K_SGlucose,64.8487976197245
lsym,K_SGlucose,38.3366387993658
lsym,K_SGlucose,52.3118613012273
lsym,K_SGlucose,68.8262368381403
lsym,K_SGlucose,38.3366387993658
lsym,K_SGlucose,62.72386499883
lsym,K_SGlucose,2.58928274425622
lsym,K_SGlucose,64.8487976197245
lsym,K_SNeu5Ac,74.9746695856873
lsym,K_SNeu5Ac,74.4758576671453
lsym,K_SNeu5Ac,74.9999608149248
lsym,K_SNeu5Ac,59.5945179344676
lsym,K_SNeu5Ac,75
lsym,K_SNeu5Ac,75
lsym,K_SNeu5Ac,59.5945179344676
lsym,K_SNeu5Ac,74.9976391138315
lsym,K_SNeu5Ac,75
lsym,K_SNeu5Ac,74.9999608149248
lsym,K_SFucose,23.8685052761585
lsym,K_SFucose,44.2154884133795
lsym,K_SFucose,24.2928630837933
lsym,K_SFucose,31.8745047944553
lsym,K_SFucose,19.9852728162458
lsym,K_SFucose,21.790952184276
lsym,K_SFucose,31.8745047944553
lsym,K_SFucose,24.7296764770995
lsym,K_SFucose,36.7175035833827
lsym,K_SFucose,24.2928630837933
